% Model,COMSOL_Bitter_Coils_01.mph,
% Version,COMSOL 6.3.0.335,
% Date,"Apr 25 2025, 18:08",
% Dimension,2,
% Nodes,2503,
% Expressions,1,
% Description,Surface,
x,z,Normal current density
-0.002406055,7.62E-05,6.62E+08
-0.00238125,1.02E-04,6.61E+08
-0.002356445,1.27E-04,6.60E+08
-0.002331641,1.52E-04,6.59E+08
-0.002430859,1.02E-04,6.63E+08
-0.002406055,1.27E-04,6.62E+08
-0.00238125,1.52E-04,6.61E+08
-0.002455664,1.27E-04,6.64E+08
-0.002430859,1.52E-04,6.63E+08
-0.002480469,1.52E-04,6.65E+08
-0.002505273,1.78E-04,6.66E+08
-0.002480469,2.03E-04,6.65E+08
-0.002455664,2.29E-04,6.64E+08
-0.002430859,2.54E-04,6.63E+08
-0.002406055,2.79E-04,6.62E+08
-0.00238125,3.05E-04,6.61E+08
-0.002530078,2.03E-04,6.67E+08
-0.002505273,2.29E-04,6.66E+08
-0.002480469,2.54E-04,6.65E+08
-0.002455664,2.79E-04,6.64E+08
-0.002430859,3.05E-04,6.63E+08
-0.002554883,2.29E-04,6.68E+08
-0.002530078,2.54E-04,6.67E+08
-0.002505273,2.79E-04,6.66E+08
-0.002480469,3.05E-04,6.65E+08
-0.002579688,2.54E-04,6.69E+08
-0.002554883,2.79E-04,6.68E+08
-0.002530078,3.05E-04,6.67E+08
-0.002604492,2.79E-04,6.70E+08
-0.002579688,3.05E-04,6.69E+08
-0.002629297,3.05E-04,6.71E+08
-0.002356445,2.79E-04,6.60E+08
